# Fetched from https://as52210.net/communities.txt
52210:666,Blackhole
52210:102:835,Prepend 2x to GoCodeIT (Transit)
52210:103:835,Prepend 3x to GoCodeIT (Transit)
52210:104:835,No-Export to GoCodeIT (Transit)
52210:101:6939,Prepend 1x to Hurricane Electric (Transit)
52210:102:6939,Prepend 2x to Hurricane Electric (Transit)
52210:103:6939,Prepend 3x to Hurricane Electric (Transit)
52210:104:6939,No-Export to Hurricane Electric (Transit)
52210:101:52025,Prepend 1x to ParadoxNetworks (Transit)
52210:102:52025,Prepend 2x to ParadoxNetworks (Transit)
52210:103:52025,Prepend 3x to ParadoxNetworks (Transit)
52210:104:52025,No-Export to ParadoxNetworks (Transit)
52210:101:210667,Prepend 1x to SmishCraft (Transit)
52210:102:210667,Prepend 2x to SmishCraft (Transit)
52210:103:210667,Prepend 3x to SmishCraft (Transit)
52210:104:210667,No-Export to SmishCraft (Transit)
52210:101:32097,Prepend 1x to Wholesale Internet (Transit)
52210:102:32097,Prepend 2x to Wholesale Internet (Transit)
52210:103:32097,Prepend 3x to Wholesale Internet (Transit)
52210:104:32097,No-Export to Wholesale Internet (Transit)
52210:65526,Do not export to transit (peers and exchanges only)
52210:201:0,Prepend 1x to All Internet Exchange Points
52210:202:0,Prepend 2x to All Internet Exchange Points
52210:203:0,Prepend 3x to All Internet Exchange Points
52210:201:4059,Prepend 1x to ONIX (Peer)
52210:202:4059,Prepend 2x to ONIX (Peer)
52210:203:4059,Prepend 3x to ONIX (Peer)
52210:204:4059,No-Export to ONIX (Peer)
52210:201:249,Prepend 1x to KCIX (Peer)
52210:202:249,Prepend 2x to KCIX (Peer)
52210:203:249,Prepend 3x to KCIX (Peer)
52210:204:249,No-Export to KCIX (Peer)
52210:201:2835,Prepend 1x to HOUIX (Peer)
52210:202:2835,Prepend 2x to HOUIX (Peer)
52210:203:2835,Prepend 3x to HOUIX (Peer)
52210:204:2835,No-Export to HOUIX (Peer)
52210:201:2585,Prepend 1x to STLIX (Peer)
52210:202:2585,Prepend 2x to STLIX (Peer)
52210:203:2585,Prepend 3x to STLIX (Peer)
52210:204:2585,No-Export to STLIX (Peer)
52210:201:13,Prepend 1x to SeattleIX (Peer)
52210:202:13,Prepend 2x to SeattleIX (Peer)
52210:203:13,Prepend 3x to SeattleIX (Peer)
52210:204:13,No-Export to SeattleIX (Peer)
52210:201:1285,Prepend 1x to SeattleIX Jumbo (Peer)
52210:202:1285,Prepend 2x to SeattleIX Jumbo (Peer)
52210:203:1285,Prepend 3x to SeattleIX Jumbo (Peer)
52210:204:1285,No-Export to SeattleIX Jumbo (Peer)
52210:201:446,Prepend 1x to MICE (Peer)
52210:202:446,Prepend 2x to MICE (Peer)
52210:203:446,Prepend 3x to MICE (Peer)
52210:204:446,No-Export to MICE (Peer)
52210:201:26,Prepend 1x to AMS-IX (Peer)
52210:202:26,Prepend 2x to AMS-IX (Peer)
52210:203:26,Prepend 3x to AMS-IX (Peer)
52210:204:26,No-Export to AMS-IX (Peer)
52210:201:3512,Prepend 1x to Frys-IX (Peer)
52210:202:3512,Prepend 2x to Frys-IX (Peer)
52210:203:3512,Prepend 3x to Frys-IX (Peer)
52210:204:3512,No-Export to Frys-IX (Peer)
52210:201:4837,Prepend 1x to FogIXP (Peer)
52210:202:4837,Prepend 2x to FogIXP (Peer)
52210:203:4837,Prepend 3x to FogIXP (Peer)
52210:204:4837,No-Export to FogIXP (Peer)
52210:201:3990,Prepend 1x to InterIX (Peer)
52210:202:3990,Prepend 2x to InterIX (Peer)
52210:203:3990,Prepend 3x to InterIX (Peer)
52210:204:3990,No-Export to InterIX (Peer)
52210:201:4378,Prepend 1x to F4IX (Peer)
52210:202:4378,Prepend 2x to F4IX (Peer)
52210:203:4378,Prepend 3x to F4IX (Peer)
52210:204:4378,No-Export to F4IX (Peer)
52210:204:0,No-Export to All Internet Exchange Points
52210:10:1,Originated in Kansas City, United States
52210:20:1,Learned in Kansas City, United States
52210:10:2,Originated in Toronto, Canada
52210:20:2,Learned in Toronto, Canada
52210:10:3,Originated in Amsterdam, Netherlands
52210:20:3,Learned in Amsterdam, Netherlands
52210:10:4,Originated in Auckland, New Zealand
52210:20:4,Learned in Auckland, New Zealand
52210:10:5,Originated in London, United Kingdom
52210:20:5,Learned in London, United Kingdom
52210:10:6,Originated in Zurich, Switzerland
52210:20:6,Learned in Zurich, Switzerland
52210:10:7,Originated in Wolverhampton, United Kingdom
52210:20:7,Learned in Wolverhampton, United Kingdom
52210:30:1,Originating router NOC-MCI01A
52210:40:1,Learned at router NOC-MCI01A
52210:30:2,Originating router NOC-MCI01B
52210:40:2,Learned at router NOC-MCI01B
52210:30:3,Originating router EQX-TR2
52210:40:3,Learned at router EQX-TR2
52210:30:4,Originating router NIK-AMS01
52210:40:4,Learned at router NIK-AMS01
52210:30:5,Originating router ZAP-AKL01
52210:40:5,Learned at router ZAP-AKL01
52210:30:7,Originating router CDN-NOC-MCI01
52210:40:7,Learned at router CDN-NOC-MCI01
52210:30:8,Originating router CDN-THN-LHR01
52210:40:8,Learned at router CDN-THN-LHR01
52210:30:9,Originating router CDN-FOG-ZRH01
52210:40:9,Learned at router CDN-FOG-ZRH01
52210:30:10,Originating router CDN-VLX-WOV02
52210:40:10,Learned at router CDN-VLX-WOV02
52210:30:11,Originating router CDN-ZAP-AKL01
52210:40:11,Learned at router CDN-ZAP-AKL01
52210:10x:0,Prepend $0 times to all (max 3)
52210:104:nnn,Do not announce to AS$0
52210:10x:nnn,Prepend $0 times to AS$1 (max 3)
52210:50:nnn,Learned from AS$0
